camera,segment,kind,frame,onnx_score,native_score,score_delta,iou
lfw,all,rgb,rgb/AJ_Cook_0001.ppm,0.910684,0.910684,0.000e0,1.000000
lfw,all,rgb,rgb/AJ_Lamas_0001.ppm,0.934524,0.934524,1.192e-7,1.000000
lfw,all,rgb,rgb/Aaron_Eckhart_0001.ppm,0.891293,0.891293,1.788e-7,1.000000
lfw,all,rgb,rgb/Aaron_Guiel_0001.ppm,0.895613,0.895613,1.192e-7,1.000000
lfw,all,rgb,rgb/Aaron_Patterson_0001.ppm,0.951199,0.951199,1.192e-7,1.000000
lfw,all,rgb,rgb/Aaron_Peirsol_0001.ppm,0.908782,0.908782,0.000e0,1.000000
lfw,all,rgb,rgb/Aaron_Peirsol_0002.ppm,0.933163,0.933163,1.192e-7,1.000000
lfw,all,rgb,rgb/Aaron_Peirsol_0003.ppm,0.928874,0.928874,5.960e-8,1.000000
lfw,all,rgb,rgb/Aaron_Peirsol_0004.ppm,0.903341,0.903341,0.000e0,1.000000
lfw,all,rgb,rgb/Aaron_Pena_0001.ppm,0.956052,0.956052,0.000e0,1.000000
lfw,all,rgb,rgb/Aaron_Sorkin_0001.ppm,0.929669,0.929669,5.960e-8,1.000000
lfw,all,rgb,rgb/Aaron_Sorkin_0002.ppm,0.917208,0.917208,5.960e-8,1.000000
lfw,all,rgb,rgb/Aaron_Tippin_0001.ppm,0.918771,0.918771,1.192e-7,1.000000
lfw,all,rgb,rgb/Abba_Eban_0001.ppm,0.884113,0.884113,1.192e-7,1.000000
lfw,all,rgb,rgb/Abbas_Kiarostami_0001.ppm,0.956737,0.956737,0.000e0,1.000000
lfw,all,rgb,rgb/Abdel_Aziz_Al-Hakim_0001.ppm,0.944824,0.944824,1.192e-7,0.999999
lfw,all,rgb,rgb/Abdel_Madi_Shabneh_0001.ppm,0.916353,0.916353,0.000e0,0.999999
lfw,all,rgb,rgb/Abdel_Nasser_Assidi_0001.ppm,0.944095,0.944095,5.960e-8,1.000000
lfw,all,rgb,rgb/Abdel_Nasser_Assidi_0002.ppm,0.933488,0.933488,0.000e0,1.000000
lfw,all,rgb,rgb/Abdoulaye_Wade_0001.ppm,0.926587,0.926587,5.960e-8,1.000000
lfw,all,rgb,rgb/Abdoulaye_Wade_0002.ppm,0.945698,0.945698,5.960e-8,1.000000
lfw,all,rgb,rgb/Abdoulaye_Wade_0003.ppm,0.686668,0.686669,5.364e-7,1.000000
lfw,all,rgb,rgb/Abdoulaye_Wade_0004.ppm,0.926225,0.926225,0.000e0,0.999999
lfw,all,rgb,rgb/Abdul_Majeed_Shobokshi_0001.ppm,0.876422,0.876422,1.192e-7,1.000000
lfw,all,rgb,rgb/Abdul_Rahman_0001.ppm,0.916904,0.916904,0.000e0,1.000000
lfw,all,rgb,rgb/Abdulaziz_Kamilov_0001.ppm,0.942052,0.942052,5.960e-8,1.000000
lfw,all,rgb,rgb/Abdullah_0001.ppm,0.944870,0.944870,1.192e-7,1.000000
lfw,all,rgb,rgb/Abdullah_0002.ppm,0.978681,0.978681,0.000e0,1.000000
lfw,all,rgb,rgb/Abdullah_0003.ppm,0.920532,0.920532,0.000e0,1.000000
lfw,all,rgb,rgb/Abdullah_0004.ppm,0.942985,0.942985,0.000e0,1.000000
lfw,all,rgb,rgb/Abdullah_Ahmad_Badawi_0001.ppm,0.971442,0.971442,0.000e0,1.000000
lfw,all,rgb,rgb/Abdullah_Gul_0001.ppm,0.973884,0.973884,0.000e0,1.000000
lfw,all,rgb,rgb/Abdullah_Gul_0002.ppm,0.944275,0.944275,0.000e0,1.000000
lfw,all,rgb,rgb/Abdullah_Gul_0003.ppm,0.884975,0.884975,5.960e-8,1.000000
lfw,all,rgb,rgb/Abdullah_Gul_0004.ppm,0.929970,0.929970,0.000e0,1.000000
lfw,all,rgb,rgb/Abdullah_Gul_0005.ppm,0.895583,0.895583,1.192e-7,1.000000
lfw,all,rgb,rgb/Abdullah_Gul_0006.ppm,0.887458,0.887458,0.000e0,1.000000
lfw,all,rgb,rgb/Abdullah_Gul_0007.ppm,0.957647,0.957647,0.000e0,1.000000
lfw,all,rgb,rgb/Abdullah_Gul_0008.ppm,0.906122,0.906122,0.000e0,0.999999
lfw,all,rgb,rgb/Abdullah_Gul_0009.ppm,0.925100,0.925100,2.384e-7,1.000000
lfw,all,rgb,rgb/Abdullah_Gul_0010.ppm,0.948218,0.948218,0.000e0,1.000000
lfw,all,rgb,rgb/Abdullah_Gul_0011.ppm,0.952735,0.952735,0.000e0,1.000000
lfw,all,rgb,rgb/Abdullah_Gul_0012.ppm,0.965410,0.965410,0.000e0,1.000000
lfw,all,rgb,rgb/Abdullah_Gul_0013.ppm,0.967621,0.967621,1.192e-7,1.000000
lfw,all,rgb,rgb/Abdullah_Gul_0014.ppm,0.954529,0.954529,0.000e0,1.000000
lfw,all,rgb,rgb/Abdullah_Gul_0015.ppm,0.937063,0.937063,0.000e0,1.000000
lfw,all,rgb,rgb/Abdullah_Gul_0016.ppm,0.877726,0.877726,5.960e-8,0.999999
lfw,all,rgb,rgb/Abdullah_Gul_0017.ppm,0.976056,0.976056,1.192e-7,0.999999
lfw,all,rgb,rgb/Abdullah_Gul_0018.ppm,0.901185,0.901185,1.192e-7,1.000000
