camera,segment,kind,frame,ear_left,ear_right,blink_left,blink_right,jaw_open,brow_inner_up
lfw,all,rgb,rgb/AJ_Cook_0001.ppm,0.2732,0.2312,0.2286,0.1779,0.0863,0.0035
lfw,all,rgb,rgb/AJ_Lamas_0001.ppm,0.0628,0.1034,0.4788,0.5080,0.0076,0.0002
lfw,all,rgb,rgb/Aaron_Eckhart_0001.ppm,0.3188,0.3226,0.0888,0.0498,0.0482,0.0000
lfw,all,rgb,rgb/Aaron_Guiel_0001.ppm,0.2150,0.2127,0.3198,0.2765,0.0332,0.0012
lfw,all,rgb,rgb/Aaron_Patterson_0001.ppm,0.3715,0.3201,0.1158,0.0969,0.0024,0.0140
lfw,all,rgb,rgb/Aaron_Peirsol_0001.ppm,0.2374,0.2004,0.3842,0.2505,0.0208,0.0001
lfw,all,rgb,rgb/Aaron_Peirsol_0002.ppm,0.3373,0.3556,0.0793,0.0500,0.0631,0.0004
lfw,all,rgb,rgb/Aaron_Peirsol_0003.ppm,0.2593,0.2702,0.2254,0.2323,0.0771,0.0002
lfw,all,rgb,rgb/Aaron_Peirsol_0004.ppm,0.2617,0.2330,0.2536,0.2203,0.1305,0.0001
lfw,all,rgb,rgb/Aaron_Pena_0001.ppm,0.3495,0.3369,0.0435,0.0375,0.1150,0.0010
lfw,all,rgb,rgb/Aaron_Sorkin_0001.ppm,0.0408,0.0979,0.4940,0.6123,0.0907,0.0001
lfw,all,rgb,rgb/Aaron_Sorkin_0002.ppm,0.2411,0.2429,0.1508,0.1825,0.0603,0.0004
lfw,all,rgb,rgb/Aaron_Tippin_0001.ppm,0.2767,0.2955,0.2074,0.1657,0.0078,0.0000
lfw,all,rgb,rgb/Abba_Eban_0001.ppm,0.2135,0.1664,0.4476,0.1802,0.1464,0.0001
lfw,all,rgb,rgb/Abbas_Kiarostami_0001.ppm,0.3330,0.3480,0.1194,0.0358,0.0015,0.0188
lfw,all,rgb,rgb/Abdel_Aziz_Al-Hakim_0001.ppm,0.2415,0.4107,0.0603,0.1951,0.0012,0.0005
lfw,all,rgb,rgb/Abdel_Madi_Shabneh_0001.ppm,0.2889,0.3105,0.1162,0.0878,0.0035,0.0002
lfw,all,rgb,rgb/Abdel_Nasser_Assidi_0001.ppm,0.2861,0.3141,0.1203,0.1873,0.0097,0.0014
lfw,all,rgb,rgb/Abdel_Nasser_Assidi_0002.ppm,0.3023,0.3248,0.1208,0.1019,0.0065,0.0006
lfw,all,rgb,rgb/Abdoulaye_Wade_0001.ppm,0.3232,0.3105,0.0440,0.0360,0.0023,0.0109
lfw,all,rgb,rgb/Abdoulaye_Wade_0002.ppm,0.2234,0.2323,0.1480,0.1992,0.0033,0.0008
lfw,all,rgb,rgb/Abdoulaye_Wade_0003.ppm,0.1388,0.2304,0.3141,0.6442,0.0022,0.0002
lfw,all,rgb,rgb/Abdoulaye_Wade_0004.ppm,0.2838,0.3315,0.1286,0.0969,0.0001,0.0006
lfw,all,rgb,rgb/Abdul_Majeed_Shobokshi_0001.ppm,0.4108,0.5753,0.0341,0.0196,0.0276,0.0173
lfw,all,rgb,rgb/Abdul_Rahman_0001.ppm,0.2684,0.2714,0.1863,0.1383,0.0010,0.0029
lfw,all,rgb,rgb/Abdulaziz_Kamilov_0001.ppm,0.2803,0.3362,0.1585,0.2217,0.0063,0.0003
lfw,all,rgb,rgb/Abdullah_0001.ppm,0.2622,0.2845,0.1567,0.2335,0.0130,0.0020
lfw,all,rgb,rgb/Abdullah_0002.ppm,0.3120,0.3097,0.1490,0.1348,0.0064,0.4677
lfw,all,rgb,rgb/Abdullah_0003.ppm,0.3071,0.3127,0.1307,0.1400,0.0053,0.0002
lfw,all,rgb,rgb/Abdullah_0004.ppm,0.3045,0.1859,0.2753,0.2456,0.0032,0.0006
lfw,all,rgb,rgb/Abdullah_Ahmad_Badawi_0001.ppm,0.0879,0.1083,0.5566,0.4405,0.0111,0.0014
lfw,all,rgb,rgb/Abdullah_Gul_0001.ppm,0.0628,0.0797,0.6567,0.4831,0.1269,0.0023
lfw,all,rgb,rgb/Abdullah_Gul_0002.ppm,0.2899,0.3036,0.1325,0.0580,0.0051,0.0035
lfw,all,rgb,rgb/Abdullah_Gul_0003.ppm,0.2865,0.3449,0.0864,0.0868,0.0141,0.0001
lfw,all,rgb,rgb/Abdullah_Gul_0004.ppm,0.2468,0.2793,0.1869,0.1562,0.0134,0.0016
lfw,all,rgb,rgb/Abdullah_Gul_0005.ppm,0.2427,0.1551,0.3099,0.1419,0.0208,0.0001
lfw,all,rgb,rgb/Abdullah_Gul_0006.ppm,0.2770,0.3306,0.0953,0.1001,0.0022,0.0001
lfw,all,rgb,rgb/Abdullah_Gul_0007.ppm,0.3027,0.2464,0.2119,0.0892,0.0050,0.0000
lfw,all,rgb,rgb/Abdullah_Gul_0008.ppm,0.2939,0.3320,0.1201,0.1291,0.0015,0.0003
lfw,all,rgb,rgb/Abdullah_Gul_0009.ppm,0.2960,0.3025,0.1773,0.1173,0.0034,0.0023
lfw,all,rgb,rgb/Abdullah_Gul_0010.ppm,0.2459,0.2819,0.1853,0.1858,0.0178,0.0003
lfw,all,rgb,rgb/Abdullah_Gul_0011.ppm,0.2375,0.1706,0.3309,0.1715,0.0186,0.0001
lfw,all,rgb,rgb/Abdullah_Gul_0012.ppm,0.2550,0.2324,0.2569,0.1490,0.0141,0.0002
lfw,all,rgb,rgb/Abdullah_Gul_0013.ppm,0.2578,0.2598,0.1651,0.1436,0.0173,0.0002
lfw,all,rgb,rgb/Abdullah_Gul_0014.ppm,0.3312,0.3305,0.1174,0.0616,0.0017,0.0002
lfw,all,rgb,rgb/Abdullah_Gul_0015.ppm,0.4873,0.3515,0.0679,0.0759,0.0016,0.0001
lfw,all,rgb,rgb/Abdullah_Gul_0016.ppm,0.3692,0.4555,0.1666,0.6352,0.0109,0.1222
lfw,all,rgb,rgb/Abdullah_Gul_0017.ppm,0.2188,0.1594,0.4814,0.2569,0.0018,0.0017
lfw,all,rgb,rgb/Abdullah_Gul_0018.ppm,0.1459,0.1798,0.2568,0.2575,0.0122,0.0000
lfw,all,rgb,rgb/Abdullah_Gul_0019.ppm,0.2518,0.1747,0.3612,0.1789,0.0059,0.0002
lfw,all,rgb,rgb/Abdullah_Nasseef_0001.ppm,0.3332,0.4020,0.0405,0.0813,0.0354,0.0013
lfw,all,rgb,rgb/Abdullah_al-Attiyah_0001.ppm,0.4707,0.3805,0.0162,0.0072,0.0006,0.0004
lfw,all,rgb,rgb/Abdullah_al-Attiyah_0002.ppm,0.3036,0.3109,0.1919,0.1190,0.0103,0.0003
lfw,all,rgb,rgb/Abdullah_al-Attiyah_0003.ppm,0.3804,0.3330,0.0954,0.0272,0.0015,0.0002
lfw,all,rgb,rgb/Abdullatif_Sener_0001.ppm,0.0328,0.0452,0.7635,0.6271,0.0129,0.0015
