camera,segment,kind,frame,eye_px,nme,max_px
lfw,all,rgb,rgb/AJ_Cook_0001.ppm,60.7,7.071e-7,0.0002
lfw,all,rgb,rgb/AJ_Lamas_0001.ppm,67.4,6.871e-7,0.0002
lfw,all,rgb,rgb/Aaron_Eckhart_0001.ppm,56.4,7.310e-7,0.0001
lfw,all,rgb,rgb/Aaron_Guiel_0001.ppm,66.3,7.145e-7,0.0002
lfw,all,rgb,rgb/Aaron_Patterson_0001.ppm,55.2,7.182e-7,0.0001
lfw,all,rgb,rgb/Aaron_Peirsol_0001.ppm,58.3,7.576e-7,0.0001
lfw,all,rgb,rgb/Aaron_Peirsol_0002.ppm,60.6,6.923e-7,0.0002
lfw,all,rgb,rgb/Aaron_Peirsol_0003.ppm,59.9,7.344e-7,0.0002
lfw,all,rgb,rgb/Aaron_Peirsol_0004.ppm,54.5,8.019e-7,0.0002
lfw,all,rgb,rgb/Aaron_Pena_0001.ppm,59.2,7.015e-7,0.0001
lfw,all,rgb,rgb/Aaron_Sorkin_0001.ppm,67.8,7.285e-7,0.0002
lfw,all,rgb,rgb/Aaron_Sorkin_0002.ppm,62.5,6.645e-7,0.0001
lfw,all,rgb,rgb/Aaron_Tippin_0001.ppm,55.9,8.162e-7,0.0002
lfw,all,rgb,rgb/Abba_Eban_0001.ppm,61.8,8.177e-7,0.0002
lfw,all,rgb,rgb/Abbas_Kiarostami_0001.ppm,55.7,7.598e-7,0.0002
lfw,all,rgb,rgb/Abdel_Aziz_Al-Hakim_0001.ppm,30.8,8.887e-7,0.0001
lfw,all,rgb,rgb/Abdel_Madi_Shabneh_0001.ppm,57.6,6.842e-7,0.0001
lfw,all,rgb,rgb/Abdel_Nasser_Assidi_0001.ppm,62.6,6.877e-7,0.0001
lfw,all,rgb,rgb/Abdel_Nasser_Assidi_0002.ppm,64.2,6.675e-7,0.0001
lfw,all,rgb,rgb/Abdoulaye_Wade_0001.ppm,67.9,6.420e-7,0.0001
lfw,all,rgb,rgb/Abdoulaye_Wade_0002.ppm,65.9,7.021e-7,0.0002
lfw,all,rgb,rgb/Abdoulaye_Wade_0003.ppm,56.8,9.954e-7,0.0002
lfw,all,rgb,rgb/Abdoulaye_Wade_0004.ppm,85.9,7.186e-7,0.0002
lfw,all,rgb,rgb/Abdul_Majeed_Shobokshi_0001.ppm,44.9,1.149e-6,0.0002
lfw,all,rgb,rgb/Abdul_Rahman_0001.ppm,59.9,6.822e-7,0.0001
lfw,all,rgb,rgb/Abdulaziz_Kamilov_0001.ppm,57.9,7.274e-7,0.0002
lfw,all,rgb,rgb/Abdullah_0001.ppm,60.9,7.228e-7,0.0001
lfw,all,rgb,rgb/Abdullah_0002.ppm,60.7,6.476e-7,0.0001
lfw,all,rgb,rgb/Abdullah_0003.ppm,62.0,6.744e-7,0.0001
lfw,all,rgb,rgb/Abdullah_0004.ppm,47.2,7.735e-7,0.0001
lfw,all,rgb,rgb/Abdullah_Ahmad_Badawi_0001.ppm,56.2,7.191e-7,0.0002
lfw,all,rgb,rgb/Abdullah_Gul_0001.ppm,55.4,6.952e-7,0.0001
lfw,all,rgb,rgb/Abdullah_Gul_0002.ppm,56.6,6.348e-7,0.0001
lfw,all,rgb,rgb/Abdullah_Gul_0003.ppm,59.1,6.666e-7,0.0001
lfw,all,rgb,rgb/Abdullah_Gul_0004.ppm,57.6,6.654e-7,0.0001
lfw,all,rgb,rgb/Abdullah_Gul_0005.ppm,61.2,6.583e-7,0.0001
lfw,all,rgb,rgb/Abdullah_Gul_0006.ppm,61.9,7.068e-7,0.0001
lfw,all,rgb,rgb/Abdullah_Gul_0007.ppm,56.8,6.887e-7,0.0002
lfw,all,rgb,rgb/Abdullah_Gul_0008.ppm,60.5,7.045e-7,0.0001
lfw,all,rgb,rgb/Abdullah_Gul_0009.ppm,58.6,6.530e-7,0.0002
lfw,all,rgb,rgb/Abdullah_Gul_0010.ppm,59.2,7.141e-7,0.0001
lfw,all,rgb,rgb/Abdullah_Gul_0011.ppm,57.2,7.093e-7,0.0001
lfw,all,rgb,rgb/Abdullah_Gul_0012.ppm,59.9,6.614e-7,0.0002
lfw,all,rgb,rgb/Abdullah_Gul_0013.ppm,59.8,6.594e-7,0.0001
lfw,all,rgb,rgb/Abdullah_Gul_0014.ppm,60.5,7.023e-7,0.0001
lfw,all,rgb,rgb/Abdullah_Gul_0015.ppm,43.2,7.662e-7,0.0001
lfw,all,rgb,rgb/Abdullah_Gul_0016.ppm,51.3,7.276e-7,0.0002
lfw,all,rgb,rgb/Abdullah_Gul_0017.ppm,60.3,7.390e-7,0.0001
lfw,all,rgb,rgb/Abdullah_Gul_0018.ppm,65.5,6.939e-7,0.0002
lfw,all,rgb,rgb/Abdullah_Gul_0019.ppm,53.2,6.768e-7,0.0001
lfw,all,rgb,rgb/Abdullah_Nasseef_0001.ppm,55.0,7.948e-7,0.0001
lfw,all,rgb,rgb/Abdullah_al-Attiyah_0001.ppm,55.6,7.252e-7,0.0001
lfw,all,rgb,rgb/Abdullah_al-Attiyah_0002.ppm,58.8,7.422e-7,0.0001
lfw,all,rgb,rgb/Abdullah_al-Attiyah_0003.ppm,55.4,7.755e-7,0.0002
lfw,all,rgb,rgb/Abdullatif_Sener_0001.ppm,53.7,7.551e-7,0.0002
lfw,all,rgb,rgb/Abdullatif_Sener_0002.ppm,52.6,8.235e-7,0.0001
lfw,all,rgb,rgb/Abel_Aguilar_0001.ppm,56.1,6.953e-7,0.0002
lfw,all,rgb,rgb/Abel_Pacheco_0001.ppm,57.4,6.677e-7,0.0002
lfw,all,rgb,rgb/Abel_Pacheco_0002.ppm,62.4,7.144e-7,0.0001
lfw,all,rgb,rgb/Abel_Pacheco_0003.ppm,60.6,7.203e-7,0.0002
lfw,all,rgb,rgb/Abel_Pacheco_0004.ppm,58.8,6.755e-7,0.0001
lfw,all,rgb,rgb/Abid_Hamid_Mahmud_Al-Tikriti_0001.ppm,52.1,6.824e-7,0.0002
lfw,all,rgb,rgb/Abid_Hamid_Mahmud_Al-Tikriti_0002.ppm,56.6,8.633e-7,0.0002
lfw,all,rgb,rgb/Abid_Hamid_Mahmud_Al-Tikriti_0003.ppm,59.2,7.260e-7,0.0002
lfw,all,rgb,rgb/Abner_Martinez_0001.ppm,57.1,7.191e-7,0.0002
lfw,all,rgb,rgb/Abraham_Foxman_0001.ppm,57.6,7.335e-7,0.0002
lfw,all,rgb,rgb/Aby_Har-Even_0001.ppm,60.9,7.089e-7,0.0002
lfw,all,rgb,rgb/Adam_Ant_0001.ppm,59.3,6.592e-7,0.0001
lfw,all,rgb,rgb/Adam_Freier_0001.ppm,64.1,6.323e-7,0.0002
lfw,all,rgb,rgb/Adam_Herbert_0001.ppm,57.0,7.504e-7,0.0001
lfw,all,rgb,rgb/Adam_Kennedy_0001.ppm,62.1,6.471e-7,0.0002
lfw,all,rgb,rgb/Adam_Mair_0001.ppm,61.4,6.891e-7,0.0001
lfw,all,rgb,rgb/Adam_Rich_0001.ppm,56.3,6.904e-7,0.0001
lfw,all,rgb,rgb/Adam_Sandler_0001.ppm,54.6,7.757e-7,0.0002
lfw,all,rgb,rgb/Adam_Sandler_0002.ppm,47.1,8.783e-7,0.0001
lfw,all,rgb,rgb/Adam_Sandler_0003.ppm,51.4,8.333e-7,0.0001
lfw,all,rgb,rgb/Adam_Sandler_0004.ppm,53.6,8.232e-7,0.0001
lfw,all,rgb,rgb/Adam_Scott_0001.ppm,61.2,6.535e-7,0.0002
lfw,all,rgb,rgb/Adam_Scott_0002.ppm,61.8,6.730e-7,0.0002
lfw,all,rgb,rgb/Adel_Al-Jubeir_0001.ppm,56.4,7.784e-7,0.0002
lfw,all,rgb,rgb/Adel_Al-Jubeir_0002.ppm,55.6,7.360e-7,0.0001
lfw,all,rgb,rgb/Adel_Al-Jubeir_0003.ppm,48.3,7.877e-7,0.0001
lfw,all,rgb,rgb/Adelina_Avila_0001.ppm,59.1,7.133e-7,0.0002
lfw,all,rgb,rgb/Adisai_Bodharamik_0001.ppm,57.1,7.638e-7,0.0001
lfw,all,rgb,rgb/Adolfo_Aguilar_Zinser_0001.ppm,49.6,7.965e-7,0.0002
lfw,all,rgb,rgb/Adolfo_Aguilar_Zinser_0002.ppm,50.6,8.343e-7,0.0002
lfw,all,rgb,rgb/Adolfo_Aguilar_Zinser_0003.ppm,50.8,8.255e-7,0.0002
lfw,all,rgb,rgb/Adolfo_Rodriguez_Saa_0001.ppm,57.8,7.856e-7,0.0002
lfw,all,rgb,rgb/Adolfo_Rodriguez_Saa_0002.ppm,55.9,6.323e-7,0.0001
lfw,all,rgb,rgb/Adoor_Gopalakarishnan_0001.ppm,59.8,7.257e-7,0.0001
lfw,all,rgb,rgb/Adrian_Annus_0001.ppm,66.2,7.947e-7,0.0002
lfw,all,rgb,rgb/Adrian_Fernandez_0001.ppm,64.7,6.528e-7,0.0002
lfw,all,rgb,rgb/Adrian_McPherson_0001.ppm,56.5,7.285e-7,0.0002
lfw,all,rgb,rgb/Adrian_McPherson_0002.ppm,58.0,6.298e-7,0.0001
lfw,all,rgb,rgb/Adrian_Murrell_0001.ppm,56.0,7.228e-7,0.0002
lfw,all,rgb,rgb/Adrian_Nastase_0001.ppm,59.4,8.071e-7,0.0002
lfw,all,rgb,rgb/Adrian_Nastase_0002.ppm,55.4,8.087e-7,0.0002
lfw,all,rgb,rgb/Adriana_Lima_0001.ppm,71.4,5.960e-7,0.0001
lfw,all,rgb,rgb/Adriana_Perez_Navarro_0001.ppm,62.2,7.517e-7,0.0002
lfw,all,rgb,rgb/Adrianna_Zuzic_0001.ppm,66.9,7.722e-7,0.0002
lfw,all,rgb,rgb/Adrien_Brody_0001.ppm,57.7,7.286e-7,0.0001
lfw,all,rgb,rgb/Adrien_Brody_0002.ppm,56.8,6.833e-7,0.0002
lfw,all,rgb,rgb/Adrien_Brody_0003.ppm,55.7,7.419e-7,0.0001
lfw,all,rgb,rgb/Adrien_Brody_0004.ppm,63.9,7.704e-7,0.0002
lfw,all,rgb,rgb/Adrien_Brody_0005.ppm,58.3,7.274e-7,0.0002
lfw,all,rgb,rgb/Adrien_Brody_0006.ppm,58.8,7.028e-7,0.0002
lfw,all,rgb,rgb/Adrien_Brody_0007.ppm,59.0,7.738e-7,0.0002
lfw,all,rgb,rgb/Adrien_Brody_0008.ppm,54.3,7.863e-7,0.0002
lfw,all,rgb,rgb/Adrien_Brody_0009.ppm,67.5,7.127e-7,0.0002
lfw,all,rgb,rgb/Adrien_Brody_0010.ppm,60.7,6.790e-7,0.0002
lfw,all,rgb,rgb/Adrien_Brody_0011.ppm,56.8,7.141e-7,0.0001
lfw,all,rgb,rgb/Adrien_Brody_0012.ppm,49.2,7.815e-7,0.0001
lfw,all,rgb,rgb/Afton_Smith_0001.ppm,60.9,7.367e-7,0.0002
lfw,all,rgb,rgb/Agbani_Darego_0001.ppm,62.4,6.071e-7,0.0001
lfw,all,rgb,rgb/Agnelo_Queiroz_0001.ppm,52.4,7.326e-7,0.0002
lfw,all,rgb,rgb/Agnes_Bruckner_0001.ppm,58.1,6.821e-7,0.0001
lfw,all,rgb,rgb/Ahmad_Jbarah_0001.ppm,55.5,7.627e-7,0.0001
lfw,all,rgb,rgb/Ahmad_Masood_0001.ppm,60.4,6.706e-7,0.0001
lfw,all,rgb,rgb/Ahmad_Masood_0002.ppm,39.6,9.486e-7,0.0002
lfw,all,rgb,rgb/Ahmed_Ahmed_0001.ppm,61.5,8.098e-7,0.0001
lfw,all,rgb,rgb/Ahmed_Chalabi_0001.ppm,58.2,7.448e-7,0.0001
lfw,all,rgb,rgb/Ahmed_Chalabi_0002.ppm,52.9,8.372e-7,0.0001
lfw,all,rgb,rgb/Ahmed_Chalabi_0003.ppm,57.2,7.524e-7,0.0001
lfw,all,rgb,rgb/Ahmed_Chalabi_0004.ppm,58.3,7.090e-7,0.0001
lfw,all,rgb,rgb/Ahmed_Chalabi_0005.ppm,56.6,7.651e-7,0.0002
lfw,all,rgb,rgb/Ahmed_Ghazi_0001.ppm,55.6,7.823e-7,0.0001
lfw,all,rgb,rgb/Ahmed_Ibrahim_Bilal_0001.ppm,62.6,6.803e-7,0.0001
lfw,all,rgb,rgb/Ahmed_Lopez_0001.ppm,55.4,6.893e-7,0.0001
lfw,all,rgb,rgb/Ahmed_Qureia_0001.ppm,55.9,7.341e-7,0.0002
lfw,all,rgb,rgb/Ahmet_Demir_0001.ppm,53.8,8.317e-7,0.0001
lfw,all,rgb,rgb/Ahmet_Necdet_Sezer_0001.ppm,54.2,7.484e-7,0.0001
lfw,all,rgb,rgb/Ahmet_Necdet_Sezer_0002.ppm,56.8,7.718e-7,0.0001
lfw,all,rgb,rgb/Ai_Sugiyama_0001.ppm,57.9,7.169e-7,0.0001
lfw,all,rgb,rgb/Ai_Sugiyama_0002.ppm,56.5,7.246e-7,0.0002
lfw,all,rgb,rgb/Ai_Sugiyama_0003.ppm,58.2,6.689e-7,0.0001
lfw,all,rgb,rgb/Ai_Sugiyama_0004.ppm,64.1,5.943e-7,0.0002
