stage,model,runtime,threads,mean_ms,p50_ms,p95_ms
detection,yunet,ort,0,10.091,9.885,11.078
detection-rescue,blaze_short,ort,0,1.006,0.982,1.292
detection-rescue,blaze_short,tflite,1,2.020,2.018,2.065
detection-rescue,blaze_short,tflite,2,1.218,1.218,1.228
detection-rescue,blaze_short,tflite,4,0.815,0.815,0.825
detection-rescue,blaze_full_range,tflite,2,3.283,3.222,4.134
landmarks,face_landmark_468,ort,0,7.355,7.359,7.402
landmarks,face_landmarks_478,tflite,1,7.252,7.243,7.333
landmarks,face_landmarks_478,tflite,2,4.577,4.575,4.615
landmarks,face_landmarks_478,tflite,4,3.075,3.074,3.121
blendshapes,face_blendshapes,tflite,1,1.406,1.406,1.416
